Baustein,Nummer,Siegelstufe,Anforderungen
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A1 Festlegung einer Richtlinie für den Einsatz von Smartphones und Tablets ,B,"Bevor eine Institution Smartphones oder Tablets bereitstellt, betreibt oder einsetzt, MUSS eine generelle Richtlinie im Hinblick auf die Nutzung und Kontrolle der Geräte festgelegt werden. Hierbei MUSS unter anderem festgelegt werden, wer auf welche Informationen der Institution zugreifen darf."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A2 Festlegung einer Strategie für die Cloud-Nutzung ,B,Die Institution MUSS im Zusammenhang mit Smartphones und Tablets eine generelle Strategie für die damit verbundene Cloud-Nutzung sowie für den Schutz und die Kontrolle der Informationen festlegen. Die erlaubte Nutzung von Cloud-Diensten für Informationen der Institution MUSS geklärt und festgelegt werden. Die Benutzer MÜSSEN regelmäßig bezüglich der Nutzung solcher Cloud-Dienste geschult werden.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A3 Sichere Grundkonfiguration für mobile Geräte ,B,"Alle mobilen Endgeräte MÜSSEN so konfiguriert sein, dass sie das erforderliche Schutzniveau angemessen erfüllen. Dafür MUSS eine passende Grundkonfiguration der Sicherheitsmechanismen und -einstellungen zusammengestellt und dokumentiert werden. Nicht benötigte Funktionen SOLLTEN deaktiviert werden. Die Freischaltung von Kommunikationsschnittstellen MUSS geregelt und auf das dienstlich notwendige Maß reduziert werden. Nicht benutzte Schnittstellen SOLLTEN deaktiviert werden. Wenn eine Institution ein MDM einsetzt, MUSS bei der Übergabe des mobilen Endgerätes bereits der MDM-Client installiert sein."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A4 Verwendung eines Zugriffschutzes [Benutzer] ,B,Smartphones und Tablets MÜSSEN mit einem angemessen komplexen Gerätesperrcode geschützt werden. Die Nutzung der Bildschirmsperre MUSS vorgeschrieben werden. Die Anzeige von vertraulichen Informationen auf dem Sperrbildschirm MUSS deaktiviert sein. Alle mobilen Geräte MÜSSEN nach einer angemessen kurzen Zeitspanne selbsttätig die Bildschirmsperre aktivieren. Diese Zeitspanne MUSS in Abhängigkeit zum angestrebten Schutzniveau stehen.
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A5 Updates von Betriebssystem und Apps ,B,"Es MUSS ein Prozess für Updates des Betriebssystems und der eingesetzten Apps etabliert werden. Die Aktualisierungen MÜSSEN getestet werden. Dabei SOLLTEN insbesondere bisher benötigte Funktionen, Sicherheitsmechanismen und die Durchsetzung von Compliance-Anforderungen geprüft werden. Nach der Freigabe MÜSSEN die Aktualisierungen zeitnah ausgerollt werden. Bereits bei der Auswahl von zu beschaffenden mobilen Geräten MUSS die Institution darauf achten, dass der Hersteller über den geplanten Nutzungszeitraum Sicherheitsaktualisierungen für die Geräte bereitstellt. Ältere Geräte, für die keine Aktualisierungen mehr bereitgestellt werden, MÜSSEN ausgesondert und durch vom Hersteller unterstützte Geräte ersetzt werden. Apps SOLLTEN unter Berücksichtigung von Sicherheitsaspekten ebenfalls NICHT mehr eingesetzt werden, wenn sie nicht mehr durch den Hersteller unterstützt werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A6 Datenschutzeinstellungen ,B,"Der Zugriff von Apps und Betriebssystem auf Daten und Schnittstellen MUSS angemessen eingeschränkt werden. Die Datenschutzeinstellungen MÜSSEN so restriktiv wie möglich konfiguriert werden. Insbesondere der Zugriff auf Kamera, Mikrofon sowie Ortungs- und Gesundheits- bzw. Fitnessdaten MUSS auf Konformität mit den organisationsinternen Datenschutz- und Sicherheitsvorgaben überprüft und restriktiv konfiguriert bzw. deaktiviert werden."
SYS.3.2.1 Allgemeine Smartphones und Tablets,"SYS.3.2.1.A7 Verhaltensregeln bei Sicherheitsvorfällen [Fachverantwortliche, Benutzer] ",B,"Generell MÜSSEN alle Sicherheitsvorfälle gemeldet und behandelt werden. Gehen Geräte verloren oder werden unberechtigte Änderungen an Gerät und Software festgestellt, MÜSSEN die Verantwortlichen sofort geeignete Gegenmaßnahmen einleiten."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A8 Keine Installation von Apps aus unsicheren Quellen ,B,"Es MUSS unterbunden werden, dass sich Apps aus alternativen Märkten oder aus dem Dateisystem installieren lassen."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A9 Restriktive Nutzung von funktionalen Erweiterungen ,S,"Funktionale Erweiterungen SOLLTEN nur restriktiv genutzt werden. Wenn möglich, SOLLTE auf funktionale Erweiterungen verzichtet werden. Die funktionalen Erweiterungen SOLLTEN keinen automatischen Zugriff auf schützenswerte Informationen haben. Sie SOLLTEN die festgelegte Grundkonfiguration nicht umgehen oder ändern können."
SYS.3.2.1 Allgemeine Smartphones und Tablets,SYS.3.2.1.A10 Richtlinie für Mitarbeiter zur Benutzung von mobilen Geräten [Benutzer] ,S,"Es SOLLTE eine verbindliche Richtlinie für Mitarbeiter zur Benutzung von mobilen Geräten erstellt werden. Diese SOLLTE festlegen, wie mobile Geräte genutzt und gepflegt werden sollen. Darin SOLLTEN die Themen Aufbewahrung und Verlustmeldung behandelt werden. Außerdem SOLLTE verboten werden, Verwaltungssoftware zu deinstallieren oder das Gerät zu rooten."
