"CON.7","CIA","G 0.14","G 0.15","G 0.16","G 0.17","G 0.18","G 0.19","G 0.20","G 0.29","G 0.30","G 0.31","G 0.35","G 0.36","G 0.39","G 0.42","G 0.45","G 0.46"
"CON.7.A01","",X,,X,X,X,X,,X,X,X,,,,,,
"CON.7.A02","",X,,,,X,,X,X,,X,,,,X,,
"CON.7.A03","",,,,X,X,X,,X,X,,,,,,X,X
"CON.7.A04","",,,X,,,X,,,X,,,,X,,,
"CON.7.A05","",,,X,,,X,,X,X,,,,X,,,
"CON.7.A06","",,,,,,X,,,X,,,,,,,
"CON.7.A07","",X,X,,,,,X,,X,,,,,,,
"CON.7.A08","",,X,,,X,X,X,X,,X,,,,,,
"CON.7.A09","",,,X,,,X,X,,,,,,,,,
"CON.7.A10","",,,,,X,X,,X,,,,X,,,,X
"CON.7.A11","",,,X,X,,,,,X,X,,,,,X,
"CON.7.A12","",,,X,,X,X,,X,,X,,,,,,
"CON.7.A13","",,,X,X,X,X,,,X,,X,,,,X,X
"CON.7.A14","",X,X,,,,X,X,X,,,,X,,,,X
"CON.7.A15","C",,,,,,,,,X,,,X,,,,
"CON.7.A16","I",,,,,,,X,,,X,,,,,X,X
"CON.7.A17","CIA",X,,,,X,,,,X,,X,,,,X,
"CON.7.A18","CI",,,,,X,,,,,X,,,,,,
"INF.5","CIA","G 0.01","G 0.02","G 0.03","G 0.04","G 0.05","G 0.08","G 0.10","G 0.11","G 0.18","G 0.24","G 0.25","G 0.26","G 0.29","G 0.41","G 0.44"
"INF.5.A01","",,,,,,,,,X,,,,,,
"INF.5.A02","",X,X,X,X,X,,,,,,,,,,
"INF.5.A03","",,,,,,,,,,X,,X,,X,X
"INF.5.A04","",,,,,,X,X,,,X,,X,,X,
"INF.5.A05","",,,,,,,,,,,X,X,,,
"INF.5.A06","",X,,,X,,X,X,,,X,X,X,,,
"INF.5.A07","",X,,X,X,,,,,,X,X,X,,,X
"INF.5.A08","",,,,,,X,,,,,X,,,,
"INF.5.A09","",X,,,,,X,,,,X,X,,,,
"INF.5.A10","",,X,,X,,,,,,X,X,X,,,
"INF.5.A11","",X,,X,X,,X,X,,,X,X,X,,,
"INF.5.A12","",,,X,X,,X,X,,X,,,,,X,
"INF.5.A13","",X,,,X,,,,,,X,X,X,X,,
"INF.5.A14","",X,,,X,,X,X,,,X,X,X,,,
"INF.5.A15","",,,,,X,X,X,,,X,X,X,,,
"INF.5.A16","",,,,,,X,X,,,X,X,,,,
"INF.5.A17","",,,,,X,X,X,,,X,X,X,,X,
"INF.5.A18","CA",X,X,X,X,X,,,,,,,,,,
"INF.5.A19","A",,,,,,X,X,,,X,X,X,,,
"INF.5.A20","CIA",,,,,,X,X,,,X,X,,,X,X
"INF.5.A21","A",,,,,,X,X,,,X,X,X,X,,
"INF.5.A22","A",,,,,,X,X,,,X,X,,,,
"INF.5.A23","A",,,,,,X,X,X,,X,X,X,,,
"INF.5.A24","A",,X,,X,,X,X,X,,X,X,X,,,
"INF.5.A25","A",X,,,X,,X,X,,,X,X,X,,,
"INF.5.A26","A",,,,,,X,X,,,,X,X,,,
"NET.4.3","CIA","G 0.02","G 0.04","G 0.08","G 0.14","G 0.16","G 0.18","G 0.19","G 0.22","G 0.27","G 0.31"
"NET.4.3.A01","",X,X,,X,X,X,,,,
"NET.4.3.A02","",X,,,,,X,,,X,X
"NET.4.3.A03","",,,,,,,,,X,X
"NET.4.3.A04","",,,,X,X,X,X,X,,X
"NET.4.3.A05","",,,,,,,,,,
"NET.4.3.A06","",,,,X,,X,X,X,,
"NET.4.3.A07","",,,,,,X,,,,
"NET.4.3.A08","",,,,X,,,X,,,
"NET.4.3.A09","",,,,X,,,,,,
"NET.4.3.A10","",,,,X,,,X,X,,
"NET.4.3.A11","A",,,,X,,,X,X,,X
"NET.4.3.A12","CIA",,,X,,,,,,,
"NET.4.3.A13","CIA",,,X,X,,,,,,
"NET.4.3.A14","A",,,,,,,,,X,X
"NET.4.3.A15","CIA",,,,,X,,,,,
"CON.8","CIA","G 0.14","G 0.15","G 0.18","G 0.19","G 0.20","G 0.22","G 0.23","G 0.25","G 0.28","G 0.29","G 0.30","G 0.31","G 0.32","G 0.39","G 0.40","G 0.41","G 0.46"
"CON.8.A01","",,,X,,,,,,,X,X,X,X,,,,
"CON.8.A02","",,,X,,,,,,,X,,,,,,,
"CON.8.A03","",,,X,,X,,,,,,,,,,,,
"CON.8.A04","",X,X,X,,X,,X,X,X,,,X,X,X,X,X,X
"CON.8.A05","",X,X,X,X,X,,X,X,,,,,,,X,X,X
"CON.8.A06","",X,X,,,X,X,,,,,X,,,,X,,
"CON.8.A07","",,,,,,,,,X,X,,,,,,,
"CON.8.A08","",,,,X,,,,,X,X,,,X,,,,
"CON.8.A09","",,X,,X,X,,,X,,X,,,,,,,
"CON.8.A10","",,,,,,,,,,,X,X,,,,,
"CON.8.A11","",,,,,,,,,,X,,X,,,X,X,X
"CON.8.A12","",,,,,,,,,,X,,,,,,,
"CON.8.A13","",,,,X,,,,,,,,,,,,,
"CON.8.A14","",,,,X,X,,,X,,,,,X,,,,
"CON.8.A15","",,,,X,,X,,,,,,,,,,,
"CON.8.A16","",,X,X,,X,,X,X,,,,X,X,X,X,X,X
"CON.8.A17","CI",,X,,X,X,,,X,,,,,,,,,X
"CON.8.A18","CIA",,,,X,,X,,,X,X,,,,,,,
"CON.8.A19","I",,,,,,,,,,,,X,,,,,
"SYS.3.2.3","CIA","G 0.09","G 0.11","G 0.14","G 0.16","G 0.19","G 0.21","G 0.22","G 0.23","G 0.25","G 0.26","G 0.27","G 0.28","G 0.29","G 0.30","G 0.32","G 0.35","G 0.36","G 0.37","G 0.38","G 0.39","G 0.41","G 0.42","G 0.46"
"SYS.3.2.3.A01","",,,X,X,X,X,X,X,X,,,X,X,X,X,,,X,X,,X,,X
"SYS.3.2.3.A02","",,X,X,,X,,,,,,,,X,,,,X,,X,,,,X
"SYS.3.2.3.A03","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A04","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A05","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A06","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A07","",,,,,X,X,X,X,,,,,,X,X,X,,X,X,,X,,X
"SYS.3.2.3.A08","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A09","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A10","",,,,,,,,X,,,,,,,,,,,,,,,
"SYS.3.2.3.A11","",,,X,,,,,,,,,,,,,,,,,,,X,
"SYS.3.2.3.A12","",,,X,X,X,,,,,,,,,,X,X,X,X,,,X,X,X
"SYS.3.2.3.A13","",,,X,X,X,X,X,X,,X,,X,X,X,X,,X,X,X,,X,X,X
"SYS.3.2.3.A14","",X,X,X,X,X,,,X,,,,,X,,,,,,,,,,
"SYS.3.2.3.A15","",,X,,,X,,,,,,,,X,,,,,,,,,,X
"SYS.3.2.3.A16","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A17","",,,X,X,X,X,X,X,,,,,,,X,,X,,,,,,X
"SYS.3.2.3.A18","",,,,,,,,,,X,,X,,,,,,,,,,,
"SYS.3.2.3.A19","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A20","",,,X,,X,,,,,,,,,,,,,,,X,,,X
"SYS.3.2.3.A21","",,,X,,X,X,,,X,X,,X,,,X,,,,,X,X,,X
"SYS.3.2.3.A22","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A23","CI",,X,,X,,,,,,,X,,,X,,,,,,,,,
"SYS.3.2.3.A24","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.3.A25","CI",,,,X,X,,,,,,,,X,,,X,,,,,,,X
"SYS.3.2.3.A26","CI",,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,,X,X,X,X,X
"SYS.3.2.3.A27","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.2","CIA","G 0.11","G 0.13","G 0.14","G 0.15","G 0.16","G 0.17","G 0.18","G 0.19","G 0.21","G 0.22","G 0.23","G 0.24","G 0.25","G 0.28","G 0.29","G 0.30","G 0.31","G 0.32","G 0.36","G 0.37","G 0.38","G 0.39","G 0.45"
"SYS.3.2.2.A01","",,,,,,,X,,,,,,,,X,,,,,,,,
"SYS.3.2.2.A02","",,,,,,,X,,,,,,,,,,,,,,,,
"SYS.3.2.2.A03","",X,,,,,,X,,,,,,,,,,,,,,,,X
"SYS.3.2.2.A04","",,X,X,,,,,,X,X,X,,,,,X,X,,X,,,X,
"SYS.3.2.2.A05","",,X,X,,,,,,X,X,X,,,,,X,X,,X,,,X,
"SYS.3.2.2.A06","",,,,,,,,,,,,,,,,X,X,X,,X,,,
"SYS.3.2.2.A07","",,,X,,X,,,X,X,X,X,X,X,,X,X,X,X,X,,,X,
"SYS.3.2.2.A08","",,,X,,,X,,,,,,,,,,,,,,,,,
"SYS.3.2.2.A09","",,,X,,X,X,,X,X,X,X,,,X,,X,,,X,,X,,X
"SYS.3.2.2.A10","",,,,X,X,,,,,X,,,,,,,,,,,,,
"SYS.3.2.2.A11","",,,,,,,,,,,,,,,,X,,,,,X,,
"SYS.3.2.2.A12","",,,,,,,,,,,X,,,,,X,,X,,,X,,
"SYS.3.2.2.A13","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.2.A14","CI",,,X,,X,,,X,,X,X,,,X,,X,,,X,,,X,
"SYS.3.2.2.A15","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.2.A16","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.2.A17","I",,,,,,,,,,,,,,,X,X,X,X,,X,,,
"SYS.3.2.2.A18","",,,,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.2.A19","CI",,,X,,,,,,,,,,,,,,,,,,,,
"SYS.3.2.2.A20","",,,,,,,X,X,X,,X,,,,X,X,X,X,,,,,
"SYS.3.2.2.A21","",,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,,X,,
"SYS.3.2.2.A22","",,,X,X,X,X,X,X,,,,X,,,X,X,,,X,,X,,
"SYS.3.2.2.A23","CI",,,,,X,,,,X,X,,,,,X,,,,,,,,
"APP.3.1","CIA","G 0.18","G 0.19","G 0.20","G 0.21","G 0.22","G 0.23","G 0.28","G 0.30","G 0.32","G 0.36","G 0.39","G 0.40","G 0.43","G 0.46"
"APP.3.1.A01","",,X,,,X,X,,X,X,X,,,,X
"APP.3.1.A02","",,X,,,X,X,,X,X,X,,,,X
"APP.3.1.A03","",,X,,,X,X,,X,X,X,,,X,X
"APP.3.1.A04","",,X,,X,X,X,,X,X,X,,,X,X
"APP.3.1.A05","",X,,,,,X,,X,,X,,,,
"APP.3.1.A06","",,,,,,,,,,,,,,
"APP.3.1.A07","",X,,,,,X,X,,,,,,,
"APP.3.1.A08","",X,,X,X,,,X,,,,,,,
"APP.3.1.A09","",,X,,X,,X,,X,X,X,,,X,X
"APP.3.1.A10","",,,,,,,,,,,,,,
"APP.3.1.A11","",,X,X,X,X,X,X,X,X,X,X,X,X,X
"APP.3.1.A12","",,X,,,X,X,,X,X,X,,,X,X
"APP.3.1.A13","",,,,,X,X,,X,X,X,,,,X
"APP.3.1.A14","",,,,,X,X,,,,,X,,X,X
"APP.3.1.A15","",,X,,X,,,,,,,,X,,
