"APP.1.2";"G 0.14";"G 0.15";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.22";"G 0.23";"G 0.25";"G 0.26";"G 0.28";"G 0.30";"G 0.31";"G 0.39";"G 0.40";"G 0.45";"G 0.46"
"APP.1.2.A01";;;;X;;;;X;;;X;;;X;;;
"APP.1.2.A02";X;;X;X;;;X;;;;;;;;;;X
"APP.1.2.A03";X;;X;;X;;X;;;;;;;;;;X
"APP.1.2.A04";;;;;X;X;;X;;X;X;;;X;;;
"APP.1.2.A05";;;X;;;X;;;;;;X;X;;;;
"APP.1.2.A06";;;X;X;;;;;;;;X;X;;;;
"APP.1.2.A07";X;X;;X;;;;;;;;X;X;;;X;
"APP.1.2.A08";;;X;;;;X;;;;X;X;X;;;;
"APP.1.2.A09";;;;;;;;X;;X;X;;;X;;;
"APP.1.2.A10";X;;;X;;;;;;;;;;;;;
"APP.1.2.A11";;;;;;;;X;;;X;;;;;;
"APP.1.2.A12";;;X;;;;;;X;X;X;;;;X;;
