"APP.3.4";"G 0.15";"G 0.18";"G 0.19";"G 0.28";"G 0.30";"G 0.31";"G 0.39";"G 0.40";"G 0.45";"G 0.46"
"APP.3.4.A01";;X;;;;X;;X;;
"APP.3.4.A02";;X;;;;X;X;X;;
"APP.3.4.A03";;X;;;;X;;X;;
"APP.3.4.A04";;X;;;;X;;;X;
"APP.3.4.A05";;X;X;;;X;;;;X
"APP.3.4.A06";;X;;;;X;;;;
"APP.3.4.A07";X;;;;X;;;;;
"APP.3.4.A08";;X;;X;;X;;;;
"APP.3.4.A09";X;X;X;;;X;;;;
"APP.3.4.A10";;X;;;;X;X;X;X;
"APP.3.4.A11";;X;;;;;;;X;
"APP.3.4.A12";;X;;;;;;;;X
"APP.3.4.A13";X;;X;;;;;;;
"APP.3.4.A14";;;;;;;;X;;
"APP.3.4.A15";X;;X;;;;;;;X
