"APP.3.6";"G 0.09";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.22";"G 0.23";"G 0.25";"G 0.26";"G 0.27";"G 0.28";"G 0.30";"G 0.31";"G 0.32";"G 0.40";"G 0.43";"G 0.45";"G 0.46"
"APP.3.6.A01";X;X;;;;;;;;;;;;;;;;
"APP.3.6.A02";;;;;;;;X;X;X;;;;;X;;;
"APP.3.6.A03";;;;;;X;X;;;;X;;;;X;;;
"APP.3.6.A04";;;X;;;X;X;;;;;;;;X;X;X;X
"APP.3.6.A05";;;;X;X;;X;;;;X;;;;;;;
"APP.3.6.A06";;;;;;X;X;;;;;X;;;;;;X
"APP.3.6.A07";;;;;;;;X;X;X;;;;;X;;;
"APP.3.6.A08";;X;;;;;;;;;;;;;;;;
"APP.3.6.A09";;;;;;;X;;;;;;;;X;;X;
"APP.3.6.A10";;;;X;X;;;;;;X;;;;;;;
"APP.3.6.A11";;;;;;;;X;X;X;;;;;X;;;
"APP.3.6.A12";;X;;;;;;;;;;;X;X;;;;
"APP.3.6.A13";;X;X;;;;;;;;;;;;;;;
"APP.3.6.A14";;X;X;;;X;X;X;X;X;;;;;X;;;
"APP.3.6.A15";;;;;;X;X;;X;X;;;;X;;;;
"APP.3.6.A16";;;;;;X;X;;;;;X;;;;X;;
"APP.3.6.A17";;;;;;X;X;;;;;X;;;X;X;;X
"APP.3.6.A18";;;;;;X;X;;;;;X;;;;;;X
"APP.3.6.A19";;;X;;;;;;;;;;;;;;;
"APP.3.6.A20";;;;;;;X;X;X;X;;;;;X;;X;
"APP.3.6.A21";;;X;;;X;X;;;;;X;;;;;;
"APP.3.6.A22";X;;;;;;;;;;;;;;;;;
