"CON.7";"G 0.14";"G 0.15";"G 0.16";"G 0.17";"G 0.18";"G 0.19";"G 0.20";"G 0.29";"G 0.30";"G 0.31";"G 0.35";"G 0.36";"G 0.39";"G 0.42";"G 0.45";"G 0.46"
"CON.7.A01";X;;X;X;X;X;;X;X;X;;;;;;
"CON.7.A02";X;;;;X;;;X;;X;;;;X;;
"CON.7.A03";;;;X;X;X;;X;X;;;;;;X;X
"CON.7.A04";;;X;;;X;;;X;;;;X;;;
"CON.7.A05";;;X;;;X;;X;X;;;;X;;;
"CON.7.A06";;;;;;X;;;X;;;;;;;
"CON.7.A07";X;X;;;;;;;X;;;;;;;
"CON.7.A08";;X;;;X;X;;X;;X;;;;;;
"CON.7.A09";;;X;;;X;;;;;;;;;;
"CON.7.A10";;;;;X;X;;X;;;;X;;;;X
"CON.7.A11";;;X;X;;;;;X;X;;;;;X;
"CON.7.A12";;;X;;X;X;;X;;X;;;;;;
"CON.7.A13";;;X;X;X;X;;;X;;X;;;;X;X
"CON.7.A14";X;X;;;;X;;X;;;;X;;;;X
"CON.7.A15";;;;;;;;;X;;;X;;;;
"CON.7.A16";;;;;;;;;;X;;;;;X;X
"CON.7.A17";X;;;;X;;;;X;;X;;;;X;
"CON.7.A18";;;;;X;;;;;X;;;;;;
