"DER.2.2";"G 0.17";"G 0.20";"G 0.22";"G 0.25";"G 0.27";"G 0.29";"G 0.31";"G 0.37";"G 0.45";"G 0.46"
"DER.2.2.A01";;;;;;X;;;X;
"DER.2.2.A02";X;X;X;X;;;X;;X;X
"DER.2.2.A03";;;;;X;;X;;X;
"DER.2.2.A04";;;;X;;;;;X;X
"DER.2.2.A05";X;X;X;X;;;X;;X;X
"DER.2.2.A06";;X;;;;;X;;X;X
"DER.2.2.A07";;;;;;;X;;X;X
"DER.2.2.A08";X;;X;;;;X;X;X;X
"DER.2.2.A09";X;;X;;;;X;X;X;X
"DER.2.2.A10";X;;X;;;;X;X;X;X
"DER.2.2.A11";X;;X;X;;;X;X;X;X
"DER.2.2.A12";X;;X;;;;;X;X;X
"DER.2.2.A13";;;;;X;;X;;X;
"DER.2.2.A14";X;;X;X;;;X;X;X;X
"DER.2.2.A15";X;;X;X;;;X;X;X;X
