"DER.2.3";"G 0.14";"G 0.15";"G 0.16";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.22";"G 0.23";"G 0.24";"G 0.28";"G 0.29";"G 0.31";"G 0.32";"G 0.39";"G 0.40";"G 0.41";"G 0.42";"G 0.43";"G 0.45";"G 0.46"
"DER.2.3.A01";X;;;;X;;;;;;;;;;;X;X;X;;X;X
"DER.2.3.A02";X;X;X;;X;;X;X;X;X;;;;X;X;;X;;X;X;X
"DER.2.3.A03";X;;;;X;;;X;X;;;;;X;;;;;;X;X
"DER.2.3.A04";X;X;X;;X;;X;X;X;X;;;;X;X;X;X;;X;X;X
"DER.2.3.A05";X;X;;;X;;;;X;;X;;;X;;;X;X;;;
"DER.2.3.A06";;;;X;X;;;;;;X;X;X;;;;;;;;
"DER.2.3.A07";X;X;X;;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X
"DER.2.3.A08";X;X;X;;X;;;X;;;;;;;;;;;X;X;X
"DER.2.3.A09";X;X;X;;X;;X;X;X;;;;;;X;;X;;X;;X
"DER.2.3.A10";X;X;X;;X;;X;X;X;X;X;;;X;X;;X;;X;;X
