"DER.3.2";"G 0.18";"G 0.19";"G 0.27";"G 0.29";"G 0.46"
"DER.3.2.A01";X;;X;;X
"DER.3.2.A02";X;;;X;
"DER.3.2.A03";X;;;;
"DER.3.2.A04";X;;;X;X
"DER.3.2.A05";X;;X;;X
"DER.3.2.A06";X;;;X;
"DER.3.2.A07";X;;;;
"DER.3.2.A08";X;;;;X
"DER.3.2.A09";X;X;;;X
"DER.3.2.A10";X;X;;;
"DER.3.2.A11";X;X;;;
"DER.3.2.A12";X;;;;
"DER.3.2.A13";X;;;;
"DER.3.2.A14";X;;;X;
"DER.3.2.A15";X;;;;
"DER.3.2.A16";X;;;;
"DER.3.2.A17";X;X;;;
"DER.3.2.A18";X;X;;;
"DER.3.2.A19";X;;;X;
"DER.3.2.A20";X;;;;
"DER.3.2.A21";X;;;X;X
"DER.3.2.A22";X;;;X;
"DER.3.2.A23";X;;X;X;X
