"IND.1";"G 0.05";"G 0.06";"G 0.09";"G 0.11";"G 0.14";"G 0.15";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.23";"G 0.28";"G 0.29";"G 0.30";"G 0.32";"G 0.36";"G 0.37";"G 0.39";"G 0.41";"G 0.42";"G 0.46"
"IND.1.A01";;;;;;;X;X;X;;;;X;X;;;;;;;
"IND.1.A02";;X;;;X;;;X;;;;;;;;X;;X;;X;
"IND.1.A03";;;;;X;;;;;;;;;;;;;X;X;;
"IND.1.A04";;;X;;X;;;;;X;X;;;;X;;;;;;
"IND.1.A05";;;X;X;;X;X;;;;;;;;;;;;;;
"IND.1.A06";;;X;X;X;;;;;;;;;;;;X;;;;
"IND.1.A07";;;;;;;;;;;;;;;X;X;X;;;;
"IND.1.A08";;;;X;X;;;X;;X;X;;;X;;;;;;;
"IND.1.A09";;;;;;;;X;;;;;;;;;;X;X;;X
"IND.1.A10";;;;;;;;;;;;;;;X;;X;X;X;;
"IND.1.A11";;;;;;;X;;X;;X;X;;;;;;;;;
"IND.1.A12";;;;;;;;;;;X;X;;;;;;X;X;;
"IND.1.A13";X;X;X;X;;;;;;;;;;;;;;;X;;
"IND.1.A14";;;;;;;;;;;;;;X;X;X;;;;;
"IND.1.A15";;;;;;;;;;;;;;X;X;X;;;;;
"IND.1.A16";;;;;;;;;;;X;;;;X;;;;X;;
"IND.1.A17";;;;;;;;;;;;;X;X;X;;;;;;
