"INF.2";"G 0.01";"G 0.02";"G 0.03";"G 0.04";"G 0.05";"G 0.06";"G 0.07";"G 0.08";"G 0.10";"G 0.11";"G 0.15";"G 0.16";"G 0.24";"G 0.25";"G 0.26";"G 0.29";"G 0.30";"G 0.31";"G 0.32";"G 0.33";"G 0.34";"G 0.41";"G 0.44"
"INF.2.A01";;;;;X;X;X;;;;;;;;;X;;;;;;;
"INF.2.A02";X;;;;;;;X;X;;;;X;X;;;;;;;;;
"INF.2.A03";;;;;;;;X;;;;;;;;;;;;;;;
"INF.2.A04";X;;;;X;;;X;;;;;X;;X;;;;;;;;
"INF.2.A05";;X;;;;;;;;;;;;;;;;;;;;;
"INF.2.A06";;;;;;;;;;;;X;;;;;X;;X;;;;X
"INF.2.A07";;;;;;;;;;;;X;;;;;X;;X;;;;X
"INF.2.A08";X;;;;;;;X;X;;;;X;X;;;;;;;;;
"INF.2.A09";X;;;;;;;X;X;;;;X;X;;;;;;;;;
"INF.2.A10";X;;;;;;;X;X;;;;;X;;;;;;;;;
"INF.2.A11";;;;;;;;;X;;;;X;;X;;;X;;;;;
"INF.2.A12";;;;;;;X;;;;;X;;;;;X;;;;;X;X
"INF.2.A13";X;;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;;;X;X;X
"INF.2.A14";;;;;;;;X;;;;;;;;;;;;;;;
"INF.2.A15";X;;;;;;;;;;;;;X;;;;;;;;;
"INF.2.A16";;X;;;;;;;;;;;;;;;;;;;;;
"INF.2.A17";X;;;;;;;X;X;;;;X;X;;;;;;;;;
"INF.2.A18";;;X;;;;;;;;;;X;X;;;;;;;;;
"INF.2.A19";;;;;;;;X;X;;;;;;X;X;;;;;;;
"INF.2.A20";;;;;;;;;;;;;;;X;X;X;X;;;;;
"INF.2.A21";;;;;X;X;X;X;X;X;;;;;;;;;;;X;;
"INF.2.A22";;X;;;;;;;;;;;;;;;;;;;;;
"INF.2.A23";;;;;;;;X;X;;X;;;;X;;X;;;;;X;
"INF.2.A24";;;;;;;;;;;;X;;;;X;X;;;;;X;
"INF.2.A25";;;;;;;;X;;;;;;;;;;;;;;;
"INF.2.A26";;;;;;;;X;;;;;;;;;;;;;;;
"INF.2.A27";;;;;;;;;;;;;;;;X;;X;;;;;
"INF.2.A28";X;;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;;;X;X;X
