"INF.9";"G 0.14";"G 0.16";"G 0.17";"G 0.18";"G 0.19";"G 0.21";"G 0.22";"G 0.23";"G 0.24";"G 0.25";"G 0.29";"G 0.30";"G 0.31";"G 0.44";"G 0.45";"G 0.46"
"INF.9.A01";X;X;;X;X;X;X;;;X;;;;;;
"INF.9.A02";X;X;;X;X;X;X;X;X;X;X;X;X;X;X;
"INF.9.A03";X;X;;;X;X;X;;X;;;X;;X;;X
"INF.9.A04";;;;;X;;X;;;;;X;X;;;X
"INF.9.A05";X;;;;X;;;;;;;;;;;
"INF.9.A06";X;;;X;X;;;;;;;;;;;X
"INF.9.A07";;;;;;;;;;;X;;;;;
"INF.9.A08";X;;;X;X;X;X;X;;;X;X;X;;;X
"INF.9.A09";X;X;X;;X;;X;;;;;;;;;
"INF.9.A10";;X;;;;;;X;;;;X;X;;X;
"INF.9.A11";X;;;;X;;;;;X;X;;;;;
