"NET.1.2";"G 0.09";"G 0.11";"G 0.14";"G 0.18";"G 0.19";"G 0.22";"G 0.23";"G 0.25";"G 0.27";"G 0.29";"G 0.30";"G 0.39";"G 0.40";"G 0.43"
"NET.1.2.A01";;;X;X;X;X;X;X;;X;X;;X;X
"NET.1.2.A02";X;X;X;X;X;X;X;X;X;X;X;X;X;X
"NET.1.2.A03";;;X;;X;X;;;;X;X;;;X
"NET.1.2.A04";;;X;;X;X;;;;X;X;;;X
"NET.1.2.A05";;;X;X;X;X;X;;;;X;X;X;X
"NET.1.2.A06";;;X;;X;X;X;;X;;;;X;X
"NET.1.2.A07";;X;;;X;X;;;;X;X;X;X;
"NET.1.2.A08";X;;X;;;X;X;X;;;;;;
"NET.1.2.A09";X;;X;;X;X;X;X;X;X;X;X;X;X
"NET.1.2.A10";;;X;;;X;X;;;;X;X;X;X
"NET.1.2.A11";;;X;X;X;X;X;X;;X;X;;X;X
"NET.1.2.A12";X;;;X;;;;;X;X;;;;
"NET.1.2.A13";X;X;X;X;X;X;X;X;;X;X;;X;
"NET.1.2.A14";X;X;X;X;X;X;X;X;X;X;X;X;X;X
"NET.1.2.A15";X;;;;;;;X;X;;;;;
"NET.1.2.A16";X;X;;X;;;X;X;X;X;X;;;
"NET.1.2.A17";;;;X;;;X;;X;X;;;;
"NET.1.2.A18";X;;;X;X;;X;;;X;;;;
"NET.1.2.A19";;;X;;X;X;X;;;X;X;X;X;X
"NET.1.2.A20";;;X;;X;X;X;;;;X;X;X;X
"NET.1.2.A21";;;X;;X;X;X;;;;X;X;X;X
"NET.1.2.A22";;;X;;X;X;X;;;;X;;;
"NET.1.2.A23";X;X;;X;X;X;X;;;X;X;X;;
"NET.1.2.A24";X;;;X;;;;X;;;;;;
"NET.1.2.A25";X;X;;X;;;X;X;X;;;;X;
"NET.1.2.A26";X;X;;;;;X;X;X;;X;X;X;X
"NET.1.2.A27";X;X;;;;;;X;;;;;;
"NET.1.2.A28";X;;;X;;;X;;;;X;;;
"NET.1.2.A29";;;X;;X;;X;;;;X;;;
"NET.1.2.A30";X;X;;X;;;;X;X;;;;X;
"NET.1.2.A31";;;X;;X;X;X;;;X;X;X;X;X
"NET.1.2.A32";X;;X;;X;X;X;X;X;X;X;X;X;X
"NET.1.2.A33";X;;X;;X;X;X;;;X;X;X;X;X
"NET.1.2.A34";;;;;;X;X;;;X;X;;;X
"NET.1.2.A35";;;;X;X;X;X;;;X;X;X;X;X
"NET.1.2.A36";X;;X;X;X;X;X;X;;X;X;X;X;X
"NET.1.2.A37";X;X;X;;;X;X;X;;;;;;
"NET.1.2.A38";X;X;;X;;;;X;;;;;X;
