"NET.3.3";"G 0.09";"G 0.11";"G 0.14";"G 0.18";"G 0.19";"G 0.22";"G 0.23";"G 0.28";"G 0.32";"G 0.40";"G 0.43";"G 0.46"
"NET.3.3.A01";;;;X;;;;;X;;;
"NET.3.3.A02";;X;;;;;;;;;;
"NET.3.3.A03";X;;;X;;;;;;;;
"NET.3.3.A04";;;X;;X;X;X;;X;;;
"NET.3.3.A05";;;;;;;;X;;;;
"NET.3.3.A06";;;;X;;;X;;X;;;
"NET.3.3.A07";;;X;;X;X;X;;;;X;X
"NET.3.3.A08";;;;X;;;;;;;;
"NET.3.3.A09";X;X;;;;;;;;X;;
"NET.3.3.A10";;;X;;X;X;;;;;X;X
"NET.3.3.A11";X;X;;;;;;;;X;;
"NET.3.3.A12";;;;;;;;;X;;;
"NET.3.3.A13";;;X;;X;X;;;;;X;X
