"OPS.1.1.2";"G 0.14";"G 0.16";"G 0.21";"G 0.22";"G 0.27";"G 0.29";"G 0.30";"G 0.31";"G 0.32";"G 0.33";"G 0.35";"G 0.37";"G 0.42"
"OPS.1.1.2.A01";X;X;X;X;;;;X;X;;X;;
"OPS.1.1.2.A02";;;;;;;;;;X;;;
"OPS.1.1.2.A03";X;X;X;X;;X;X;;X;;X;;X
"OPS.1.1.2.A04";X;;X;X;;;X;;X;;X;X;
"OPS.1.1.2.A05";X;;X;X;;;X;;;;;X;
"OPS.1.1.2.A06";X;;X;X;;;X;;;;;X;
"OPS.1.1.2.A07";X;;X;X;;X;X;;X;;;;
"OPS.1.1.2.A08";;;;;;;X;X;X;;;;
"OPS.1.1.2.A09";;;;;X;;;X;;X;;;
"OPS.1.1.2.A10";;;;;;;;X;;;;;
"OPS.1.1.2.A11";;;;X;;;X;;X;;;X;
"OPS.1.1.2.A12";X;X;X;X;;X;X;;;;;;X
"OPS.1.1.2.A13";X;;X;X;;;X;;X;;;X;
"OPS.1.1.2.A14";X;X;X;X;;;X;;X;;;;
"OPS.1.1.2.A15";;;X;X;;;;;X;;X;;X
"OPS.1.1.2.A16";X;;X;X;;;X;;;;;;
"OPS.1.1.2.A17";X;;X;X;X;;X;X;X;X;X;X;X
"OPS.1.1.2.A18";X;;X;X;;;X;;X;;;X;
"OPS.1.1.2.A19";;;;;X;;;;;X;;;
