"OPS.1.1.4";"G 0.14";"G 0.19";"G 0.23";"G 0.32";"G 0.36";"G 0.39";"G 0.42";"G 0.46"
"OPS.1.1.4.A01";X;X;X;X;X;X;X;X
"OPS.1.1.4.A02";X;X;X;X;X;X;;X
"OPS.1.1.4.A03";X;X;X;X;X;X;;X
"OPS.1.1.4.A04";X;X;X;X;X;X;;X
"OPS.1.1.4.A05";X;X;X;X;X;X;X;X
"OPS.1.1.4.A06";X;X;X;X;X;X;X;X
"OPS.1.1.4.A07";X;X;X;X;;X;;X
"OPS.1.1.4.A08";X;X;X;X;X;X;X;X
"OPS.1.1.4.A09";X;X;X;X;X;X;;X
"OPS.1.1.4.A10";X;X;X;X;X;X;;X
"OPS.1.1.4.A11";X;X;X;X;X;;X;X
"OPS.1.1.4.A12";X;X;X;X;X;X;;X
"OPS.1.1.4.A13";X;X;X;X;X;X;;X
"OPS.1.1.4.A14";X;X;X;X;X;X;;X
"OPS.1.1.4.A15";X;X;X;X;X;X;X;X
