"OPS.1.1.5";"G 0.09";"G 0.14";"G 0.15";"G 0.18";"G 0.19";"G 0.21";"G 0.22";"G 0.23";"G 0.25";"G 0.26";"G 0.29";"G 0.30";"G 0.31";"G 0.32";"G 0.37";"G 0.38";"G 0.40";"G 0.45";"G 0.46"
"OPS.1.1.5.A01";;;;X;;;;;;;X;;;;;X;;;
"OPS.1.1.5.A02";;;;X;;;;;;;;X;;X;;;;;
"OPS.1.1.5.A03";X;;;;;;;;X;X;;;X;;;;;;
"OPS.1.1.5.A04";;;;;;;;;;;;;X;;;;;;X
"OPS.1.1.5.A05";;;;;;;;;;;X;;;;;X;;;
"OPS.1.1.5.A06";X;;;X;;X;X;X;;;X;X;;;;;;X;X
"OPS.1.1.5.A07";;;X;;;;X;X;;;;X;;;;;;;X
"OPS.1.1.5.A08";;;;X;;;X;;;;X;;;;;;;X;X
"OPS.1.1.5.A09";;;;;;;;;;X;X;;X;;;;;;
"OPS.1.1.5.A10";;X;;;X;;;;;;;X;;X;;X;;;X
"OPS.1.1.5.A11";;;;;;X;;X;X;X;;;X;;X;;;X;
"OPS.1.1.5.A12";;X;X;;X;;X;;;;;;;;;;;X;X
"OPS.1.1.5.A13";X;;;;;;;;X;X;;;;;;;X;X;
