"OPS.1.1.6";"G 0.18";"G 0.19";"G 0.21";"G 0.22";"G 0.23";"G 0.28";"G 0.29";"G 0.30";"G 0.31";"G 0.38";"G 0.42";"G 0.43";"G 0.45";"G 0.46"
"OPS.1.1.6.A01";X;;;;;;;;;;;;;
"OPS.1.1.6.A02";X;;;;;;;;;;;;;
"OPS.1.1.6.A03";X;;;;;;;;;;;;;
"OPS.1.1.6.A04";;;;;;;;X;;;;;;
"OPS.1.1.6.A05";;X;X;X;X;X;;;;X;;X;X;X
"OPS.1.1.6.A06";X;;;;;;;;;;;;;
"OPS.1.1.6.A07";X;;;;;;X;;;;;;;
"OPS.1.1.6.A08";;;;;;;;;;X;;;;
"OPS.1.1.6.A09";;;;;;;;;X;;X;;;
"OPS.1.1.6.A10";X;X;X;X;X;X;X;X;;X;;X;X;X
"OPS.1.1.6.A11";;X;;;;;;;;X;;;;
"OPS.1.1.6.A12";;X;X;X;X;X;;;;X;;X;X;X
"OPS.1.1.6.A13";;X;;;;;;;;X;;;;
"OPS.1.1.6.A14";;X;X;X;X;X;;;;X;;X;X;X
