"OPS.1.2.3";"G 0.02";"G 0.04";"G 0.14";"G 0.16";"G 0.17";"G 0.18";"G 0.19";"G 0.20";"G 0.22";"G 0.24";"G 0.25";"G 0.26";"G 0.29";"G 0.38";"G 0.39";"G 0.42";"G 0.45";"G 0.46"
"OPS.1.2.3.A01";;;;;;;X;X;X;;;;X;X;;X;;
"OPS.1.2.3.A02";;;X;;;;X;X;;;;;X;X;;X;;
"OPS.1.2.3.A03";;;X;;;;X;;;;;;X;X;X;X;X;
"OPS.1.2.3.A04";;;;;;;;;;;;X;;;X;;X;X
"OPS.1.2.3.A05";;;;X;X;;;;;;;;;X;;;X;
"OPS.1.2.3.A06";;;X;;;;X;X;X;;;;X;X;;;;
"OPS.1.2.3.A07";;;X;;;;X;;;X;X;X;X;X;X;;X;
"OPS.1.2.3.A08";;;X;;;;X;;;;;;;X;;;;
"OPS.1.2.3.A09";;;X;;;;X;;;;;;;X;;;;
"OPS.1.2.3.A10";;;;;;;X;;;;;;X;X;;;;
"OPS.1.2.3.A11";;;;;;X;;;;;;;;;;;;
"OPS.1.2.3.A12";;;;;X;;X;X;;;;;;X;;;X;
"OPS.1.2.3.A13";;;X;X;;;X;;X;;;;;X;;;;X
"OPS.1.2.3.A14";;;;;;;;;;X;X;X;;;;;X;
"OPS.1.2.3.A15";X;X;X;X;;;X;;;X;X;X;;X;;;;
"OPS.1.2.3.A16";X;X;X;X;;;X;;;;;;;X;;;;
"OPS.1.2.3.A17";;;;;;;X;;;;;;;X;;;;X
"OPS.1.2.3.A18";X;X;;;X;;;;;X;X;X;;;;;X;
