"OPS.2.1";"G 0.11";"G 0.14";"G 0.15";"G 0.17";"G 0.18";"G 0.19";"G 0.22";"G 0.25";"G 0.29";"G 0.35";"G 0.42"
"OPS.2.1.A01";;;;;X;;;;X;;
"OPS.2.1.A02";;;;;;;;;X;;
"OPS.2.1.A03";X;;;;;;;;;;
"OPS.2.1.A04";;;;;;;;;X;;
"OPS.2.1.A05";X;;;;X;;;;X;;
"OPS.2.1.A06";;;;X;X;X;X;X;X;;
"OPS.2.1.A07";;X;;;;X;;;;;X
"OPS.2.1.A08";;;;;;X;;;X;;
"OPS.2.1.A09";X;;X;;X;;;;;;
"OPS.2.1.A10";;X;X;X;;X;X;;;;
"OPS.2.1.A11";;;;;;X;;;;;
"OPS.2.1.A12";;;;;X;;;;;;
"OPS.2.1.A13";;;;;X;X;;;;;
"OPS.2.1.A14";X;;;;;;;X;;;
"OPS.2.1.A15";X;;;;;;;;;;
"OPS.2.1.A16";;;;;;;;;X;X;
