"ORP.4";"G 0.14";"G 0.15";"G 0.16";"G 0.18";"G 0.22";"G 0.23";"G 0.25";"G 0.29";"G 0.30";"G 0.31";"G 0.32";"G 0.36";"G 0.37";"G 0.44";"G 0.46"
"ORP.4.A01";;;;X;;;;;;;;;;;
"ORP.4.A02";;;;X;;;;;;;;;;;
"ORP.4.A03";;;;X;;;;;;;;;;;
"ORP.4.A04";;;;;X;;;X;;;X;;X;;
"ORP.4.A05";;;X;X;;;;X;;;;;;X;
"ORP.4.A06";;;;X;;X;;X;;;;;;;
"ORP.4.A07";;;;X;;X;;X;;;;;;;
"ORP.4.A08";;;;X;;X;;X;;;;;;;
"ORP.4.A09";X;X;;X;X;X;;;X;;X;X;X;;X
"ORP.4.A10";X;;;;;;;;;;X;X;;;
"ORP.4.A11";;;;X;;X;;;;;;X;;;
"ORP.4.A12";X;;;;;;;;;;X;X;;;
"ORP.4.A13";X;;;;;;;;;;X;X;;;
"ORP.4.A14";;;;X;;;;X;;;;;X;;
"ORP.4.A15";;;;X;;;;;;;;;;;
"ORP.4.A16";;;;X;;;;;;;;;;;
"ORP.4.A17";;;;X;;;;;X;X;;;;;
"ORP.4.A18";X;X;;X;;;;;;;;X;;;
"ORP.4.A19";;;;;;;;;;X;;;;;
"ORP.4.A20";;;;;;;X;;;;;;;;
"ORP.4.A21";;;;;;X;;;X;;X;X;;;
