"SYS.1.5";"G 0.15";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.22";"G 0.23";"G 0.25";"G 0.26";"G 0.27";"G 0.28";"G 0.29";"G 0.30";"G 0.31";"G 0.32";"G 0.40";"G 0.43";"G 0.46"
"SYS.1.5.A01";;;;;;;;X;;X;X;;;;;;;
"SYS.1.5.A02";;;;;;;;;;;;;X;;X;;;
"SYS.1.5.A03";;;;;;X;X;;X;X;;;;;;;;
"SYS.1.5.A04";;;;;;X;X;;;;;;;;;;;
"SYS.1.5.A05";X;;;;;X;X;;;;;;X;;;;;
"SYS.1.5.A06";;;;;;;;X;X;X;;;;;;;;
"SYS.1.5.A07";;;;;;;;;X;;;;;;;;;
"SYS.1.5.A08";;X;;;;;;;;X;;X;X;X;;;;
"SYS.1.5.A09";X;X;;;;X;X;;;X;;;X;;;;;
"SYS.1.5.A10";;X;X;X;X;;;;X;;;;;;;;;
"SYS.1.5.A11";X;;;;X;;X;;;;;;;;;;;
"SYS.1.5.A12";;X;;;;;;;;;;;X;;X;;;
"SYS.1.5.A13";;X;;;;;;;X;;;;;;;;;
"SYS.1.5.A14";;;X;;X;X;X;;;;;;;;;;;
"SYS.1.5.A15";;;;;;X;X;;;;;;X;;;;X;
"SYS.1.5.A16";;;;;;X;X;;;;;;X;;;;;
"SYS.1.5.A17";;;;;;;;X;X;X;;;;;;;;
"SYS.1.5.A18";;;X;;;;;;;;;;;X;;;;
"SYS.1.5.A19";;;X;;;X;X;;X;;;;;;;;;
"SYS.1.5.A20";;;;;;;;X;X;;;;;;;;X;
"SYS.1.5.A21";;;;;;;;;X;X;;;;;;;;
"SYS.1.5.A22";;;X;;X;X;X;;;;;;;;;;;
"SYS.1.5.A23";;;;;;X;X;;;;;;;;;;;
"SYS.1.5.A24";;;;;;X;X;;;;;;X;;;;;
"SYS.1.5.A25";;;;;;;;;X;X;;;;;;;;
"SYS.1.5.A26";X;;;;X;X;X;;;;;;;;;X;;
"SYS.1.5.A27";X;;;X;X;X;X;;;;;;;;;;;
"SYS.1.5.A28";X;;;;;;;;;;;;;;;;;X
