"SYS.1.8";"G 0.08";"G 0.11";"G 0.15";"G 0.16";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.22";"G 0.23";"G 0.24";"G 0.25";"G 0.26";"G 0.27";"G 0.28";"G 0.29";"G 0.30";"G 0.31";"G 0.32";"G 0.40";"G 0.44";"G 0.45";"G 0.46"
"SYS.1.8.A01";X;;;X;;;;;;;X;;;;;;;;;;X;;
"SYS.1.8.A02";;;X;;;X;X;;;X;;;;;X;;;;;;;X;X
"SYS.1.8.A03";;;;;;;;;;;;;;;;;X;;X;;;;
"SYS.1.8.A04";;;X;;;;;;X;X;;;;;;;X;;;;;;
"SYS.1.8.A05";;;;;;;;;;;;;X;X;;;;;;;;;
"SYS.1.8.A06";;;;;X;;;;;;;;;X;X;X;;;;;;;
"SYS.1.8.A07";;;;;X;;;;;;;;;X;X;X;;;;;;;
"SYS.1.8.A08";;;;;X;;X;;;;;;;;;;;;;;;;
"SYS.1.8.A09";;X;;;X;;;;;;;;;;;;;;;;;;
"SYS.1.8.A10";;;;;X;;;;;;;;;;;;;;;;;;
"SYS.1.8.A11";;;;;;;;;;;;X;X;X;;;;;;;;;
"SYS.1.8.A12";;;;;;X;;;;;;;;;;;;X;;;;;
"SYS.1.8.A13";;;;;;;;;;;;;X;X;;;;;;;;;
"SYS.1.8.A14";;;X;;;;;;X;X;;;;;;;;;;;;;
"SYS.1.8.A15";;;X;;;;;;X;X;;;;;;;;;;;;;
"SYS.1.8.A16";;;;;;X;;;;;;;;;;;;;;;;;
"SYS.1.8.A17";;;;;;;;;;;;X;X;;;;;;;;;;
"SYS.1.8.A18";;;;;;;;;X;X;;;;;X;;X;;;;;;
"SYS.1.8.A19";;;;;;X;;;;;;;;;;;;;;;;;
"SYS.1.8.A20";;;;;;;;;;;;;X;;;;;;;;;X;
"SYS.1.8.A21";;;X;;;;;;X;X;;;;;;;;;;;;;
"SYS.1.8.A22";;;;;;;;;;;;X;;;;;;;;X;;;X
"SYS.1.8.A23";;;X;;;;;;;;;;;;;;;;;;;;
"SYS.1.8.A24";;;;;;;;;;;;;;;;;;;;;;;X
"SYS.1.8.A25";;;;;;X;;;;;;;;;;;;;;;;;
"SYS.1.8.A26";;;X;;;;;;X;X;;;;;;;;;;;;;
