"SYS.3.4";"G 0.01";"G 0.02";"G 0.03";"G 0.04";"G 0.14";"G 0.16";"G 0.17";"G 0.19";"G 0.21";"G 0.22";"G 0.23";"G 0.24";"G 0.25";"G 0.26";"G 0.29";"G 0.30";"G 0.38";"G 0.39";"G 0.41";"G 0.42";"G 0.45";"G 0.46"
"SYS.3.4.A01";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
"SYS.3.4.A02";;;;;X;;;;;X;;;;;;;;X;;;;X
"SYS.3.4.A03";;;;;;X;X;X;;;;;;;;;;;;;X;
"SYS.3.4.A04";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
"SYS.3.4.A05";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
"SYS.3.4.A06";X;X;X;X;X;X;X;X;X;;;X;X;X;;X;X;;;;;X
"SYS.3.4.A07";;;;;X;X;X;X;;;;;;;;;X;X;;X;;X
"SYS.3.4.A08";;;;;X;X;X;X;X;;X;;;;;X;;X;;;X;X
"SYS.3.4.A09";;;;;X;X;X;X;X;;X;;;;;X;;X;X;;X;X
"SYS.3.4.A10";;;;;X;X;X;X;X;X;X;;;;X;;X;;X;X;X;X
"SYS.3.4.A11";;;;;X;X;X;X;X;X;;;;;;;X;;X;X;X;X
