"SYS.4.1";"G 0.14";"G 0.16";"G 0.18";"G 0.19";"G 0.21";"G 0.23";"G 0.25";"G 0.27";"G 0.30";"G 0.32";"G 0.37";"G 0.39"
"SYS.4.1.A01";;;X;;;;;;;;;
"SYS.4.1.A02";X;X;;X;X;X;;;;;;
"SYS.4.1.A03";;;;;;X;X;;X;;;X
"SYS.4.1.A04";;;X;;;;;;;;;
"SYS.4.1.A05";X;;;X;;X;;;X;X;;
"SYS.4.1.A06";X;X;;X;;X;;X;;X;;X
"SYS.4.1.A07";X;;;X;;X;;;X;X;X;
"SYS.4.1.A08";;;X;;;;;X;;;;
"SYS.4.1.A09";;;;;;;;;;;X;
"SYS.4.1.A10";X;;;X;;X;;;X;X;;
"SYS.4.1.A11";X;;;X;;X;;;;;;X
"SYS.4.1.A12";X;X;;X;;;;;;;;
"SYS.4.1.A13";X;X;;X;;X;;;;;;
"SYS.4.1.A14";X;;;X;X;X;;;X;X;;X
"SYS.4.1.A15";X;;;X;;X;;;;;;
"SYS.4.1.A16";;;;;;;X;;;;;
